rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0033.jpg,13.2,0.4771,0.4041,0.25,1.0,6,2,False,False
77,frame_0389.jpg,155.6,0.4764,0.5298,0.625,0.12,6,5,False,False
78,frame_0120.jpg,48.0,0.476,0.4441,0.5,0.52,5,4,False,False
79,frame_0396.jpg,158.4,0.4758,0.5127,0.625,0.16,8,5,False,False
80,frame_0124.jpg,49.6,0.4757,0.4544,0.375,0.68,6,3,False,False
81,frame_0125.jpg,50.0,0.4746,0.4361,0.375,0.72,4,3,False,False
82,frame_0015.jpg,6.0,0.4729,0.3958,0.25,1.0,4,2,False,False
83,frame_0276.jpg,110.4,0.4727,0.4744,0.625,0.24,7,5,False,False
84,frame_0016.jpg,6.4,0.4704,0.3158,0.375,1.0,6,3,False,False
85,frame_0116.jpg,46.4,0.468,0.567,0.375,0.36,9,3,False,False
86,frame_0193.jpg,77.2,0.4644,0.5328,0.5,0.24,5,4,False,False
87,frame_0281.jpg,112.4,0.4631,0.6002,0.25,0.44,3,2,False,False
88,frame_0288.jpg,115.2,0.4621,0.4862,0.25,0.72,5,2,False,False
89,frame_0186.jpg,74.4,0.4618,0.5327,0.625,0.04,9,5,False,False
90,frame_0318.jpg,127.2,0.4599,0.5237,0.5,0.24,7,4,False,False
91,frame_0330.jpg,132.0,0.4596,0.5281,0.625,0.04,6,5,False,False
92,frame_0025.jpg,10.0,0.4595,0.444,0.125,1.0,1,1,False,False
93,frame_0230.jpg,92.0,0.4595,0.5709,0.5,0.12,9,4,False,False
94,frame_0174.jpg,69.6,0.4591,0.5651,0.375,0.32,3,3,False,False
95,frame_0014.jpg,5.6,0.4552,0.3605,0.25,1.0,4,2,False,False
96,frame_0020.jpg,8.0,0.455,0.3599,0.25,1.0,3,2,False,False
97,frame_0275.jpg,110.0,0.454,0.528,0.5,0.2,6,4,False,False
98,frame_0216.jpg,86.4,0.4534,0.5807,0.25,0.44,3,2,False,False
99,frame_0370.jpg,148.0,0.4532,0.5154,0.625,0.04,7,5,False,False
100,frame_0018.jpg,7.2,0.4513,0.3526,0.25,1.0,4,2,False,False
101,frame_0184.jpg,73.6,0.4494,0.5667,0.5,0.08,6,4,False,False
102,frame_0087.jpg,34.8,0.4431,0.5441,0.25,0.48,3,2,False,False
103,frame_0395.jpg,158.0,0.44,0.4569,0.625,0.12,6,5,False,False
104,frame_0011.jpg,4.4,0.4393,0.4035,0.125,1.0,3,1,False,False
105,frame_0298.jpg,119.2,0.4376,0.4262,0.375,0.56,7,3,False,False
106,frame_0233.jpg,93.2,0.4372,0.5534,0.375,0.24,4,3,False,False
107,frame_0081.jpg,32.4,0.4371,0.3612,0.375,0.72,4,3,False,False
108,frame_0277.jpg,110.8,0.4366,0.5362,0.375,0.28,7,3,False,False
109,frame_0024.jpg,9.6,0.4365,0.398,0.125,1.0,2,1,False,False
110,frame_0327.jpg,130.8,0.4362,0.5563,0.5,0.04,8,4,False,False
111,frame_0090.jpg,36.0,0.4353,0.5016,0.375,0.36,3,3,False,False
112,frame_0173.jpg,69.2,0.4351,0.5013,0.375,0.36,7,3,False,False
113,frame_0126.jpg,50.4,0.4335,0.413,0.25,0.76,5,2,False,False
114,frame_0320.jpg,128.0,0.4333,0.4707,0.5,0.24,8,4,False,False
115,frame_0302.jpg,120.8,0.4313,0.4025,0.5,0.4,7,4,False,False
116,frame_0367.jpg,146.8,0.4307,0.4544,0.625,0.08,8,5,False,False
117,frame_0296.jpg,118.4,0.43,0.379,0.375,0.64,5,3,False,False
118,frame_0089.jpg,35.6,0.4291,0.3982,0.5,0.4,6,4,False,False
119,frame_0091.jpg,36.4,0.4289,0.5047,0.375,0.32,3,3,False,False
120,frame_0209.jpg,83.6,0.4281,0.4182,0.25,0.72,3,2,False,False
121,frame_0023.jpg,9.2,0.4279,0.3808,0.125,1.0,1,1,False,False
122,frame_0208.jpg,83.2,0.4273,0.4005,0.25,0.76,3,2,False,False
123,frame_0112.jpg,44.8,0.4245,0.544,0.375,0.2,4,3,False,False
124,frame_0388.jpg,155.2,0.4223,0.4805,0.5,0.16,9,4,False,False
125,frame_0308.jpg,123.2,0.4213,0.4786,0.5,0.16,5,4,False,False
126,frame_0084.jpg,33.6,0.42,0.45,0.25,0.6,3,2,False,False
127,frame_0021.jpg,8.4,0.4199,0.2899,0.25,1.0,4,2,False,False
128,frame_0279.jpg,111.6,0.4195,0.47,0.375,0.36,6,3,False,False
129,frame_0010.jpg,4.0,0.4194,0.3637,0.125,1.0,2,1,False,False
130,frame_0307.jpg,122.8,0.4194,0.4589,0.5,0.2,8,4,False,False
131,frame_0383.jpg,153.2,0.4185,0.4891,0.5,0.12,7,4,False,False
132,frame_0078.jpg,31.2,0.4161,0.4212,0.125,0.84,6,1,False,False
133,frame_0106.jpg,42.4,0.4154,0.5148,0.5,0.04,7,4,False,False
134,frame_0103.jpg,41.2,0.4149,0.4657,0.5,0.16,4,4,False,False
135,frame_0194.jpg,77.6,0.4135,0.4901,0.375,0.28,4,3,False,False
136,frame_0373.jpg,149.2,0.4116,0.4593,0.5,0.16,8,4,False,False
137,frame_0210.jpg,84.0,0.4081,0.3941,0.25,0.68,3,2,False,False
138,frame_0316.jpg,126.4,0.408,0.452,0.5,0.16,6,4,False,False
139,frame_0026.jpg,10.4,0.4045,0.334,0.125,1.0,3,1,False,False
140,frame_0175.jpg,70.0,0.4036,0.3951,0.5,0.28,6,4,False,False
141,frame_0105.jpg,42.0,0.3998,0.4675,0.5,0.08,6,4,False,False
142,frame_0188.jpg,75.2,0.3992,0.4823,0.5,0.04,7,4,False,False
143,frame_0027.jpg,10.8,0.399,0.3229,0.125,1.0,4,1,False,False
144,frame_0132.jpg,52.8,0.3987,0.2475,0.25,1.0,5,2,False,False
145,frame_0088.jpg,35.2,0.3981,0.3951,0.375,0.44,5,3,False,False
146,frame_0017.jpg,6.8,0.3968,0.3185,0.125,1.0,4,1,False,False
147,frame_0113.jpg,45.2,0.3962,0.3964,0.5,0.24,6,4,False,False
148,frame_0115.jpg,46.0,0.3948,0.4366,0.375,0.32,7,3,False,False
149,frame_0085.jpg,34.0,0.3947,0.4904,0.125,0.56,2,1,False,False
150,frame_0133.jpg,53.2,0.3937,0.2375,0.25,1.0,6,2,False,False
151,frame_0382.jpg,152.8,0.3931,0.4543,0.5,0.08,7,4,False,False
152,frame_0371.jpg,148.4,0.3929,0.4538,0.5,0.08,8,4,False,False
153,frame_0315.jpg,126.0,0.3922,0.4364,0.5,0.12,6,4,False,False
154,frame_0280.jpg,112.0,0.3898,0.4696,0.25,0.4,5,2,False,False
155,frame_0098.jpg,39.2,0.3873,0.3836,0.625,0.04,5,5,False,False
156,frame_0028.jpg,11.2,0.3827,0.2904,0.125,1.0,4,1,False,False
157,frame_0121.jpg,48.4,0.3809,0.4627,0.125,0.56,4,1,False,False
158,frame_0398.jpg,159.2,0.3772,0.4335,0.375,0.24,8,3,False,False
159,frame_0032.jpg,12.8,0.3758,0.3515,0.0,1.0,6,0,False,False
160,frame_0225.jpg,90.0,0.3758,0.4196,0.5,0.08,5,4,False,False
161,frame_0117.jpg,46.8,0.3739,0.4378,0.25,0.4,6,2,False,False
162,frame_0391.jpg,156.4,0.3709,0.4257,0.5,0.04,6,4,False,False
163,frame_0096.jpg,38.4,0.3703,0.4675,0.375,0.12,7,3,False,False
164,frame_0333.jpg,133.2,0.3701,0.4082,0.5,0.08,11,4,False,False
165,frame_0299.jpg,119.6,0.3679,0.3777,0.25,0.52,6,2,False,False
166,frame_0303.jpg,121.2,0.3673,0.4406,0.25,0.36,5,2,False,False
167,frame_0214.jpg,85.6,0.3654,0.3728,0.25,0.52,2,2,False,False
168,frame_0006.jpg,2.4,0.365,0.2551,0.125,1.0,5,1,False,False
169,frame_0207.jpg,82.8,0.3646,0.3341,0.125,0.8,2,1,False,False
170,frame_0220.jpg,88.0,0.3644,0.4668,0.25,0.28,3,2,False,False
171,frame_0305.jpg,122.0,0.3633,0.3895,0.375,0.28,5,3,False,False
172,frame_0108.jpg,43.2,0.3614,0.4818,0.375,0.04,7,3,False,False
173,frame_0399.jpg,159.6,0.3598,0.4575,0.25,0.28,5,2,False,False
174,frame_0321.jpg,128.4,0.3575,0.41,0.375,0.2,7,3,False,False
175,frame_0114.jpg,45.6,0.356,0.3751,0.375,0.28,7,3,False,False
176,frame_0195.jpg,78.0,0.3558,0.4337,0.25,0.32,3,2,False,False
177,frame_0313.jpg,125.2,0.3539,0.5418,0.25,0.04,2,2,False,False
178,frame_0013.jpg,5.2,0.3507,0.2264,0.125,1.0,4,1,False,False
179,frame_0199.jpg,79.6,0.3495,0.432,0.125,0.48,1,1,False,False
180,frame_0283.jpg,113.2,0.3462,0.3344,0.25,0.52,5,2,False,False
181,frame_0202.jpg,80.8,0.3458,0.3016,0.25,0.6,5,2,False,False
182,frame_0104.jpg,41.6,0.3443,0.4155,0.375,0.12,4,3,False,False
183,frame_0269.jpg,107.6,0.3398,0.4386,0.375,0.04,5,3,False,False
184,frame_0268.jpg,107.2,0.3388,0.4206,0.375,0.08,5,3,False,False
185,frame_0206.jpg,82.4,0.3382,0.2974,0.125,0.76,3,1,False,False
186,frame_0211.jpg,84.4,0.3369,0.3429,0.125,0.64,2,1,False,False
187,frame_0185.jpg,74.0,0.3365,0.416,0.375,0.08,7,3,False,False
188,frame_0218.jpg,87.2,0.3351,0.3761,0.25,0.36,3,2,False,False
189,frame_0322.jpg,128.8,0.333,0.377,0.375,0.16,5,3,False,False
190,frame_0176.jpg,70.4,0.3323,0.3437,0.375,0.24,7,3,False,False
191,frame_0094.jpg,37.6,0.3272,0.4244,0.25,0.2,4,2,False,False
192,frame_0228.jpg,91.2,0.3272,0.4884,0.25,0.04,3,2,False,False
193,frame_0080.jpg,32.0,0.3265,0.274,0.125,0.76,7,1,False,False
194,frame_0390.jpg,156.0,0.3264,0.3957,0.375,0.08,7,3,False,False
195,frame_0309.jpg,123.6,0.3253,0.3776,0.375,0.12,6,3,False,False
196,frame_0178.jpg,71.2,0.3242,0.4344,0.25,0.16,6,2,False,False
197,frame_0205.jpg,82.0,0.3219,0.2809,0.125,0.72,2,1,False,False
198,frame_0097.jpg,38.8,0.3175,0.3781,0.375,0.08,5,3,False,False
199,frame_0086.jpg,34.4,0.3172,0.2764,0.25,0.52,5,2,False,False
200,frame_0082.jpg,32.8,0.3151,0.2831,0.125,0.68,4,1,False,False
201,frame_0272.jpg,108.8,0.3136,0.4452,0.25,0.08,3,2,False,False
202,frame_0111.jpg,44.4,0.3129,0.4119,0.25,0.16,4,2,False,False
203,frame_0189.jpg,75.6,0.3105,0.5141,0.125,0.08,4,1,False,False
204,frame_0394.jpg,157.6,0.3051,0.3532,0.375,0.08,5,3,False,False
205,frame_0179.jpg,71.6,0.3044,0.3357,0.375,0.12,6,3,False,False
206,frame_0012.jpg,4.8,0.3043,0.2085,0.0,1.0,3,0,False,False
207,frame_0223.jpg,89.2,0.3042,0.3944,0.25,0.16,7,2,False,False
208,frame_0311.jpg,124.4,0.3013,0.3616,0.375,0.04,4,3,False,False
209,frame_0232.jpg,92.8,0.3004,0.3709,0.25,0.2,4,2,False,False
210,frame_0229.jpg,91.6,0.2988,0.4155,0.25,0.08,6,2,False,False
211,frame_0213.jpg,85.2,0.297,0.295,0.125,0.56,4,1,False,False
212,frame_0300.jpg,120.0,0.2952,0.3234,0.125,0.48,5,1,False,False
213,frame_0100.jpg,40.0,0.2928,0.4195,0.25,0.04,5,2,False,False
214,frame_0226.jpg,90.4,0.2909,0.3408,0.375,0.04,4,3,False,False
215,frame_0101.jpg,40.4,0.2899,0.3979,0.25,0.08,4,2,False,False
216,frame_0319.jpg,127.6,0.2899,0.3179,0.25,0.28,8,2,False,False
217,frame_0200.jpg,80.0,0.2881,0.2931,0.125,0.52,2,1,False,False
218,frame_0181.jpg,72.4,0.2873,0.3335,0.375,0.04,7,3,False,False
219,frame_0222.jpg,88.8,0.2863,0.3425,0.25,0.2,5,2,False,False
220,frame_0314.jpg,125.6,0.2847,0.3874,0.25,0.08,5,2,False,False
221,frame_0393.jpg,157.2,0.2844,0.4028,0.25,0.04,4,2,False,False
222,frame_0282.jpg,112.8,0.2833,0.2995,0.125,0.48,5,1,False,False
223,frame_0212.jpg,84.8,0.2824,0.2498,0.125,0.6,2,1,False,False
224,frame_0273.jpg,109.2,0.2824,0.3667,0.25,0.12,3,2,False,False
225,frame_0022.jpg,8.8,0.2823,0.1646,0.0,1.0,3,0,False,False
226,frame_0192.jpg,76.8,0.2822,0.3343,0.25,0.2,4,2,False,False
227,frame_0119.jpg,47.6,0.2813,0.2956,0.125,0.48,4,1,False,False
228,frame_0201.jpg,80.4,0.2771,0.2552,0.125,0.56,4,1,False,False
229,frame_0196.jpg,78.4,0.2756,0.3321,0.125,0.36,2,1,False,False
230,frame_0118.jpg,47.2,0.2697,0.2884,0.125,0.44,4,1,False,False
231,frame_0217.jpg,86.8,0.2667,0.2983,0.125,0.4,2,1,False,False
232,frame_0083.jpg,33.2,0.2634,0.1958,0.125,0.64,5,1,False,False
233,frame_0109.jpg,43.6,0.2615,0.3409,0.25,0.08,6,2,False,False
234,frame_0381.jpg,152.4,0.2596,0.3533,0.25,0.04,7,2,False,False
235,frame_0215.jpg,86.0,0.2591,0.2511,0.125,0.48,3,1,False,False
236,frame_0171.jpg,68.4,0.253,0.2551,0.125,0.44,5,1,False,False
237,frame_0092.jpg,36.8,0.2497,0.3123,0.125,0.28,4,1,False,False
238,frame_0191.jpg,76.4,0.2461,0.2782,0.25,0.16,5,2,False,False
